卡牌ID,卡牌名（日文）,卡牌名（中文）,扩展标记,收藏编号,进化阶段/卡牌种类,规则,特殊分类,进化前,HP,属性,弱点,抵抗力,撤退费用,招式/特性名,费用,伤害,效果说明
173,ヨルノズク,猫头夜鹰,MC,573/742,宝可梦/1阶进化,无,无,咕咕,100,无,雷,斗,1,斯皮-多乌伊恩古,●●,60,无
174,スピンロトム,旋转洛托姆,M2a,139/193,宝可梦/基础,无,无,无,70,无,雷,斗,1,[特性]夫阿恩呼唤,无,无,自己的最初次合1次可以使用。自己的牌库从，HP「100」以下的【无】宝可梦最多3张选择，给对手查看，加入手牌。然后洗牌库。这个次合，已经其他「夫阿恩呼唤」使用过的话，这个特性不能使用。
174,スピンロトム,旋转洛托姆,M2a,139/193,宝可梦/基础,无,无,无,70,无,雷,斗,1,突击拉恩德伊恩古,●,70,场上竞技场卡出的话，这个招式失败。
175,バッフロン,爆爆头水牛,M2a,140/193,宝可梦/基础,无,无,无,100,无,斗,无,2,[特性]卡-利-乌欧-鲁,无,无,这宝可梦和，自己的其他「爆爆头水牛」期间，自己的【无】属性的【基础】宝可梦全員，对手的宝可梦从受到招式的伤害「-60」。这个效果，这特性带有宝可梦何只也，不叠加。
175,バッフロン,爆爆头水牛,M2a,140/193,宝可梦/基础,无,无,无,100,无,斗,无,2,从,●●●,130,下一个自己的次合，这宝可梦招式不能使用。
176,テラパゴスex,太乐巴戈斯ex,MC,630/742,宝可梦/基础,ex,太晶(星晶),无,230,无,斗,无,2,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
176,テラパゴスex,太乐巴戈斯ex,MC,630/742,宝可梦/基础,ex,太晶(星晶),无,230,无,斗,无,2,尤尼欧恩比-托,●●,30×,这个招式，後攻玩家的最初的番对不能使用。自己的备战区宝可梦的数×30点伤害。
176,テラパゴスex,太乐巴戈斯ex,MC,630/742,宝可梦/基础,ex,太晶(星晶),无,230,无,斗,无,2,克朗欧帕-鲁,草水雷,180,下一个对手的次合，这宝可梦【基础】宝可梦（【无】宝可梦除外）从招式的伤害不受。
177,タマタマ,蛋蛋,MC,009/742,宝可梦/基础,无,无,无,30,草,火,无,1,无,●,无,这个招式，先攻玩家的最初的番在也可以使用。这宝可梦从进化卡，自己的牌库从1张选择，这宝可梦的进化。然后洗牌库。
178,ザルード,萨戮德,SV7a,005/064,宝可梦/基础,无,无,无,120,草,火,无,1,叶多光线恩,草,20,这宝可梦的HP「20」恢复。
178,ザルード,萨戮德,SV7a,005/064,宝可梦/基础,无,无,无,120,草,火,无,1,吉亚恩古鲁乌伊普,草草●,80,可以选择，这宝可梦附有能量全部手牌也对，80点伤害追加。
179,ブラックキュレムex,暗黑酋雷姆ex,MC,204/742,宝可梦/基础,ex,无,无,230,水,钢,无,3,冰艾伊吉,●●●,90,对手的战斗宝可梦【龙】宝可梦的话，该宝可梦【麻痹】。
179,ブラックキュレムex,暗黑酋雷姆ex,MC,204/742,宝可梦/基础,ex,无,无,230,水,钢,无,3,布拉库夫洛斯托,水水●●,250,这宝可梦也对30点伤害。
180,ハギギシリ,磨牙彩皮鱼,SV7a,012/064,宝可梦/基础,无,无,无,110,水,雷,无,1,[特性],无,无,这宝可梦，战斗场在对手的宝可梦从招式的伤害受到时，招式使用过宝可梦伤害指示物3个放置。
180,ハギギシリ,磨牙彩皮鱼,SV7a,012/064,宝可梦/基础,无,无,无,110,水,雷,无,1,带有,水●,50,下一个对手的次合，这个招式受到宝可梦，不能撤退。
181,ウェルカモ,涌跃鸭,MC,212/742,宝可梦/1阶进化,无,无,润水鸭,100,水,雷,无,1,水流锋刃,水,40,无
182,ウェーニバル,狂欢浪舞鸭,MC,213/742,宝可梦/2阶进化,无,无,涌跃鸭,170,水,雷,无,2,[特性]阿普特恩波,无,无,自己的番，自己的手牌1张牌库的下方放次的话，1次可以使用。自己的手牌5张，从牌库抽牌。
182,ウェーニバル,狂欢浪舞鸭,MC,213/742,宝可梦/2阶进化,无,无,涌跃鸭,170,水,雷,无,2,水炮水花,水●,120,无
183,ムチュール,迷唇娃,SV7a,018/064,宝可梦/基础,无,无,无,30,超,恶,斗,无,基斯,0费用,无,自己的牌库从「基本【超】能量」最多2张选择，备战区宝可梦1只附上。然后洗牌库。
184,ラティアスex,拉帝亚斯ex,MC,312/742,宝可梦/基础,ex,无,无,210,超,恶,斗,2,[特性]斯卡伊拉伊恩,无,无,这宝可梦期间，自己的【基础】宝可梦全員的【撤退】所需的能量，全部消失。
184,ラティアスex,拉帝亚斯ex,MC,312/742,宝可梦/基础,ex,无,无,210,超,恶,斗,2,的、,超超●,200,下一个自己的次合，这宝可梦招式不能使用。
185,ヒラヒナ,飘飘雏,SV7a,022/064,宝可梦/基础,无,无,无,40,超,恶,斗,1,无,●,10,硬币1次掷正面的话，下一个对手的次合，这宝可梦招式的伤害和效果不受。
186,コレクレー,索财灵,SV7a,024/064,宝可梦/基础,无,无,无,70,超,恶,斗,2,无,●,无,自己的牌库从基本能量卡最多2张选择，给对手查看，加入手牌。然后洗牌库。
186,コレクレー,索财灵,SV7a,024/064,宝可梦/基础,无,无,无,70,超,恶,斗,2,撞击,●●●,50,无
187,ナックラー,大颚蚁,SV7a,025/064,宝可梦/基础,无,无,无,60,斗,草,无,1,呼唤伙伴,●,无,自己的牌库从【基础】宝可梦最多2张选择，备战区放出。然后洗牌库。
187,ナックラー,大颚蚁,SV7a,025/064,宝可梦/基础,无,无,无,60,斗,草,无,1,咬住,斗●,20,无
188,ビブラーバ,超音波幼虫,SV7a,026/064,宝可梦/1阶进化,无,无,大颚蚁,90,斗,草,无,1,、和,●,无,下一个自己的次合，这个招式受到宝可梦受到招式的伤害「+50」。
188,ビブラーバ,超音波幼虫,SV7a,026/064,宝可梦/1阶进化,无,无,大颚蚁,90,斗,草,无,1,切割乌伊恩多,斗●,50,无
189,フライゴンex,沙漠蜻蜓ex,SV7a,027/064,宝可梦/2阶进化,ex,太晶(星晶),超音波幼虫,310,斗,草,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
189,フライゴンex,沙漠蜻蜓ex,SV7a,027/064,宝可梦/2阶进化,ex,太晶(星晶),超音波幼虫,310,斗,草,无,1,风暴巴库,斗,130,可以选择，这宝可梦备战区宝可梦和互换。
189,フライゴンex,沙漠蜻蜓ex,SV7a,027/064,宝可梦/2阶进化,ex,太晶(星晶),超音波幼虫,310,斗,草,无,1,佩利多托索尼库,水斗钢,无,对手的「宝可梦【ex】・【V】」全員，各自100点伤害。这招式的伤害弱点・抵抗力不计算。
190,ブリジュラスex,铝钢桥龙ex,MC,526/742,宝可梦/1阶进化,ex,无,铝钢龙,300,钢,火,草,2,[特性]比鲁多,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。自己的弃牌区从「基本【钢】能量」最多2张选择，自己的【钢】宝可梦以任意方式附上。
190,ブリジュラスex,铝钢桥龙ex,MC,526/742,宝可梦/1阶进化,ex,无,铝钢龙,300,钢,火,草,2,金属德伊夫艾恩达-,钢钢钢,220,下一个对手的次合，这宝可梦的弱点，全部消失。
191,サーフゴー,赛富豪,MC,534/742,宝可梦/1阶进化,无,无,索财灵,130,钢,火,草,2,富饶飞天螳螂,钢,30,这个次合，这宝可梦「索财灵」从進化的话，90点伤害追加。
191,サーフゴー,赛富豪,MC,534/742,宝可梦/1阶进化,无,无,索财灵,130,钢,火,草,2,萨-夫次击,●●●,100,可以选择，这宝可梦和，附有全部的卡，自己的牌库放次并洗切。
192,テツノカシラ,铁头壳,MC,536/742,宝可梦/基础,无,未来,无,130,钢,火,草,2,德利-托劈斩,钢●,40,对手的备战区宝可梦的数3只以上的话，80点伤害追加。
192,テツノカシラ,铁头壳,MC,536/742,宝可梦/基础,无,未来,无,130,钢,火,草,2,斯拉伊斯布雷-多,钢●●,100,无
193,アローラ ナッシーex,阿罗拉 椰蛋树ex,MC,537/742,宝可梦/1阶进化,ex,太晶(星晶),蛋蛋,300,龙,无,无,3,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
193,アローラ ナッシーex,阿罗拉 椰蛋树ex,MC,537/742,宝可梦/1阶进化,ex,太晶(星晶),蛋蛋,300,龙,无,无,3,托洛皮卡鲁夫伊-巴-,草水,150,自己的手牌从基本能量卡任意选择，自己的宝可梦以任意方式附上。
193,アローラ ナッシーex,阿罗拉 椰蛋树ex,MC,537/742,宝可梦/1阶进化,ex,太晶(星晶),蛋蛋,300,龙,无,无,3,布恩布恩斯夫艾-恩,草水斗,无,硬币1次掷正面的话，对手的战斗场的【基础】宝可梦【昏厥】。反面的话，对手的备战区的【基础】宝可梦1只选择，【昏厥】。
194,チルタリス,七夕青鸟,SV7a,041/064,宝可梦/1阶进化,无,无,青绵鸟,120,龙,无,无,1,哈米恩古蓄力,水,无,自己的牌库从基本能量卡最多2张选择，自己的宝可梦以任意方式附上。然后洗牌库。
194,チルタリス,七夕青鸟,SV7a,041/064,宝可梦/1阶进化,无,无,青绵鸟,120,龙,无,无,1,科托恩乌伊恩古,水钢,100,硬币1次掷正面的话，下一个对手的次合，这宝可梦招式的伤害不受。
195,ディアルガ,帝牙卢卡,SV7a,042/064,宝可梦/基础,无,无,无,130,龙,无,无,2,塔伊姆科恩托洛-鲁,●,无,自己的牌库从任意卡牌2张选择。残的牌库切，选择的卡任意順番入替，牌库的上方放次。
195,ディアルガ,帝牙卢卡,SV7a,042/064,宝可梦/基础,无,无,无,130,龙,无,无,2,巴星尾巴,超钢●,160,无
196,バクガメス,爆焰龟兽,SV7a,044/064,宝可梦/基础,无,无,无,120,龙,无,无,3,带有,火,无,对手的战斗场的「宝可梦【ex】」附有能量1个选择，弃牌区。
196,バクガメス,爆焰龟兽,SV7a,044/064,宝可梦/基础,无,无,无,120,龙,无,无,3,斯塔恩普,斗●●,100,无
197,チルット,青绵鸟,SV7a,048/064,宝可梦/基础,无,无,无,50,无,雷,斗,1,奇亚-姆博伊斯,●,10,对手的战斗宝可梦【混乱】。
198,アイアントex,铁蚁ex,MC,052/742,宝可梦/基础,ex,无,无,190,草,火,无,2,[特性],无,无,自己的番，从手牌将这张卡备战区放出时，1次可以使用。对手的牌库从上方1张弃牌区。
198,アイアントex,铁蚁ex,MC,052/742,宝可梦/基础,ex,无,无,190,草,火,无,2,复仇粉碎,草●●,120,对手已经和奖赏卡的张数×30点伤害追加。
199,コフキムシ,粉蛹,SV8,004/106,宝可梦/基础,无,无,无,40,草,火,无,1,呼唤伙伴,●,无,自己的牌库从【基础】宝可梦1张选择，备战区放出。然后洗牌库。
200,コフーライ,粉蝶蛹,SV8,005/106,宝可梦/1阶进化,无,无,粉蛹,80,草,火,无,3,无,●,无,这宝可梦备战区宝可梦和互换。
200,コフーライ,粉蝶蛹,SV8,005/106,宝可梦/1阶进化,无,无,粉蛹,80,草,火,无,3,撞击,草,30,无
201,チオンジェン,古简蜗,SV8,010/106,宝可梦/基础,无,无,无,130,草,火,无,3,古利-多哈扎-多,草●,20,自己的牌库的剩余张数3张以下的话，对手的备战区宝可梦2只也对，各自120点伤害。［备战区弱点・抵抗力不计算。］
201,チオンジェン,古简蜗,SV8,010/106,宝可梦/基础,无,无,无,130,草,火,无,3,乌伊普,草草●,130,自己的牌库从上方3张弃牌区。
202,ビクティニ,比克提尼,SV8,012/106,宝可梦/基础,无,无,无,70,火,水,无,1,[特性]比库托利-艾-鲁,无,无,这宝可梦期间，自己的【火】属性的進化宝可梦使用招式的，对手的战斗宝可梦对伤害「+10」。
202,ビクティニ,比克提尼,SV8,012/106,宝可梦/基础,无,无,无,70,火,水,无,1,火,火●,30,无
203,ラウドボーン,骨纹巨声鳄,MC,144/742,宝可梦/2阶进化,无,无,炙烫鳄,180,火,水,无,3,[特性],无,无,这宝可梦，对手的宝可梦使用招式的效果不受。
203,ラウドボーン,骨纹巨声鳄,MC,144/742,宝可梦/2阶进化,无,无,炙烫鳄,180,火,水,无,3,烈焰利萨伊塔鲁,火●,60,双方的备战区宝可梦的数×20点伤害追加。
204,カルボウ,炭小侍,SV8,020/106,宝可梦/基础,无,无,无,80,火,水,无,2,无,火,10,无
204,カルボウ,炭小侍,SV8,020/106,宝可梦/基础,无,无,无,80,火,水,无,2,火焰,火火●,70,这宝可梦附有能量1个选择，弃牌区。
205,スコヴィランex,狠辣椒ex,MC,147/742,宝可梦/1阶进化,ex,无,热辣娃,260,火,水,无,2,[特性]达布鲁属性,无,无,这宝可梦，场上期间【草】和【火】的2的属性。
205,スコヴィランex,狠辣椒ex,MC,147/742,宝可梦/1阶进化,ex,无,热辣娃,260,火,水,无,2,斯帕伊希-光线吉,火火,10,这宝可梦放置有伤害指示物的数×70点伤害追加。
206,ヒンバス,笨笨鱼,MC,184/742,宝可梦/基础,无,无,无,30,水,雷,无,1,无,●,无,这宝可梦备战区宝可梦和互换。
207,ミロカロスex,美纳斯ex,MC,185/742,宝可梦/1阶进化,ex,无,笨笨鱼,270,水,雷,无,2,[特性]乌洛科,无,无,这宝可梦，对手的「太晶」的宝可梦从招式的伤害和效果不受。
207,ミロカロスex,美纳斯ex,MC,185/742,宝可梦/1阶进化,ex,无,笨笨鱼,270,水,雷,无,2,希普诺水花,水●●,160,对手的战斗宝可梦【睡眠】。
208,カラナクシ,无壳海牛,SV8,030/106,宝可梦/基础,无,无,无,70,水,雷,无,2,水,●●,30,无
209,パオジアン,古剑豹,M2a,043/193,宝可梦/基础,无,无,无,120,水,钢,无,1,[特性],无,无,自己的番，从手牌将这张卡备战区放出时，1次可以使用。场上出竞技场卡弃牌区。
209,パオジアン,古剑豹,M2a,043/193,宝可梦/基础,无,无,无,120,水,钢,无,1,阿伊希库鲁鲁-普,水水●,120,这宝可梦附有能量1个选择，手牌放次。
210,ピカチュウex,皮卡丘ex,M2a,044/193,宝可梦/基础,ex,太晶(星晶),无,200,雷,斗,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
210,ピカチュウex,皮卡丘ex,M2a,044/193,宝可梦/基础,ex,太晶(星晶),无,200,雷,斗,无,1,[特性]哈-托,无,无,这宝可梦的HP的状态在，这宝可梦招式的伤害受【昏厥】时，【昏厥】，剩余HP「10」的状态在场上残。
210,ピカチュウex,皮卡丘ex,M2a,044/193,宝可梦/基础,ex,太晶(星晶),无,200,雷,斗,无,1,托帕-兹博鲁托,草雷钢,300,这宝可梦附有能量3个选择，弃牌区。
211,レアコイル,三合一磁怪,MC,232/742,宝可梦/1阶进化,无,无,小磁怪,100,雷,斗,无,1,[特性]在,无,无,自己的番1次使，使用过的话，这宝可梦【昏厥】。自己的弃牌区从基本能量卡最多3张选择，自己的【雷】宝可梦以任意方式附上。
211,レアコイル,三合一磁怪,MC,232/742,宝可梦/1阶进化,无,无,小磁怪,100,雷,斗,无,1,闪电球,雷●,40,无
212,ロトム,洛托姆,MC,248/742,宝可梦/基础,无,无,无,80,雷,斗,无,1,粉碎脉冲,雷,无,对手的手牌查看，该其中「物品卡」和「宝可梦道具」，全部弃牌区。
212,ロトム,洛托姆,MC,248/742,宝可梦/基础,无,无,无,80,雷,斗,无,1,艾内希约-托,雷,20×,对手的战斗宝可梦附有能量的数×20点伤害。
213,カプ・コケコ,卡璞・鸣鸣,MC,265/742,宝可梦/基础,无,无,无,120,雷,斗,无,1,无,●,无,自己的牌库从【雷】宝可梦最多2张选择，给对手查看，加入手牌。然后洗牌库。
213,カプ・コケコ,卡璞・鸣鸣,MC,265/742,宝可梦/基础,无,无,无,120,雷,斗,无,1,奖赏卡卡乌恩塔-,雷雷●,90,自己的奖赏卡的剩余张数，对手的奖赏卡的剩余张数比多的话，90点伤害追加。
214,トゲキッス,波克基斯,MC,293/742,宝可梦/2阶进化,无,无,波克基古,140,超,钢,无,1,[特性]瓦恩达-基斯,无,无,这宝可梦期间，对手的战斗宝可梦【昏厥】每当，自己硬币1次掷。正面的话，奖赏卡1张多拿。这个效果，这特性带有宝可梦何只也，不叠加。
214,トゲキッス,波克基斯,MC,293/742,宝可梦/2阶进化,无,无,波克基古,140,超,钢,无,1,斯皮-多乌伊恩古,●●●,140,无
215,ユクシー,由克希,MC,314/742,宝可梦/基础,无,无,无,70,超,恶,斗,1,的,超,无,对手的宝可梦全員，各自伤害指示物2个放置。
216,エムリット,艾姆利多,MC,315/742,宝可梦/基础,无,无,无,70,超,恶,斗,1,无,●,无,自己的手牌从「基本【超】能量」最多2张选择，自己的宝可梦以任意方式附上。
216,エムリット,艾姆利多,MC,315/742,宝可梦/基础,无,无,无,70,超,恶,斗,1,戈多巴-斯托,超超,160,自己的备战区「由克希」「亚克诺姆」的话，这个招式失败。
217,アグノム,亚克诺姆,MC,316/742,宝可梦/基础,无,无,无,70,超,恶,斗,1,玛伊恩多基内希斯,超●,10,对手的宝可梦全員放置有伤害指示物的数×10点伤害追加。
218,デスマス,哭哭面具,MC,319/742,宝可梦/基础,无,无,无,70,超,恶,斗,2,、,超,10,无
218,デスマス,哭哭面具,MC,319/742,宝可梦/基础,无,无,无,70,超,恶,斗,2,和,超●,20,无
219,デスカーン,死神棺,MC,321/742,宝可梦/1阶进化,无,无,哭哭面具,120,超,恶,斗,2,的,超,无,双方的特性带有宝可梦全員，各自伤害指示物6个放置。
219,デスカーン,死神棺,MC,321/742,宝可梦/1阶进化,无,无,哭哭面具,120,超,恶,斗,2,霍洛乌射击,超●●,100,无
220,ニャスパー,妙喵,MC,331/742,宝可梦/基础,无,无,无,60,超,恶,斗,1,无,●,无,对手的手牌查看。
220,ニャスパー,妙喵,MC,331/742,宝可梦/基础,无,无,无,60,超,恶,斗,1,精神射击,超●,20,无
221,ニャオニクス,超能妙喵,MC,332/742,宝可梦/1阶进化,无,无,妙喵,90,超,恶,斗,1,[特性],无,无,自己的番，自己的手牌从「悠闲逗猫棒」1张弃牌区的话，1次可以使用。对手的备战区宝可梦1只选择，战斗宝可梦和互换。
221,ニャオニクス,超能妙喵,MC,332/742,宝可梦/1阶进化,无,无,妙喵,90,超,恶,斗,1,精神射击,超●●,80,无
222,デデンネ,咚咚鼠,SV8,055/106,宝可梦/基础,无,无,无,70,超,钢,无,1,在索纳-,●,无,自己的弃牌区从训练家卡1张选择，给对手查看，加入手牌。
222,デデンネ,咚咚鼠,SV8,055/106,宝可梦/基础,无,无,无,70,超,钢,无,1,啃咬,超,30,无
223,シロデスナex,噬沙堡爷ex,SV8,057/106,宝可梦/1阶进化,ex,太晶(星晶),沙丘娃,280,超,恶,斗,4,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
223,シロデスナex,噬沙堡爷ex,SV8,057/106,宝可梦/1阶进化,ex,太晶(星晶),沙丘娃,280,超,恶,斗,4,无,●●●,160,下一个对手的次合，这个招式受到宝可梦，不能撤退。
223,シロデスナex,噬沙堡爷ex,SV8,057/106,宝可梦/1阶进化,ex,太晶(星晶),沙丘娃,280,超,恶,斗,4,巴拉伊托吉艾伊鲁,水超斗,无,对手的备战区宝可梦全員，各自剩余HP「100」，伤害指示物放置。
224,コノヨザル,弃世猴,SV8,062/106,宝可梦/2阶进化,无,无,火爆猴,140,斗,超,无,2,无,斗,130,这宝可梦【混乱】。
224,コノヨザル,弃世猴,SV8,062/106,宝可梦/2阶进化,无,无,火爆猴,140,斗,超,无,2,夫阿伊托,斗●,无,双方的战斗宝可梦【昏厥】。
225,トリトドン,海牛兽,SV8,066/106,宝可梦/1阶进化,无,无,无壳海牛,130,斗,草,无,3,[特性],无,无,这宝可梦备战区期间，双方的备战区的【2阶进化】宝可梦的特性，全部消失。
225,トリトドン,海牛兽,SV8,066/106,宝可梦/1阶进化,无,无,无壳海牛,130,斗,草,无,3,玛多射击,斗●●,80,无
226,コライドン,故勒顿,SV8,069/106,宝可梦/基础,无,古代,无,130,斗,超,无,2,也,●●,30,前的自己的番，这宝可梦以外的「古代」的宝可梦招式使用过的话，150点伤害追加。
226,コライドン,故勒顿,SV8,069/106,宝可梦/基础,无,古代,无,130,斗,超,无,2,猛撞,斗斗●,110,无
227,モノズ,单首龙,SV8,070/106,宝可梦/基础,无,无,无,70,恶,草,无,1,的话,恶,无,对手的牌库从上方1张弃牌区。
227,モノズ,单首龙,SV8,070/106,宝可梦/基础,无,无,无,70,恶,草,无,1,咬住,恶●,20,无
228,ジヘッド,双头龙,SV8,071/106,宝可梦/1阶进化,无,无,单首龙,100,恶,草,无,2,的话,恶,无,对手的牌库从上方2张弃牌区。
228,ジヘッド,双头龙,SV8,071/106,宝可梦/1阶进化,无,无,单首龙,100,恶,草,无,2,、的基巴,恶●●,60,无
229,サザンドラex,三头龙ex,SV8,072/106,宝可梦/2阶进化,ex,太晶(星晶),双头龙,330,恶,草,无,3,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
229,サザンドラex,三头龙ex,SV8,072/106,宝可梦/2阶进化,ex,太晶(星晶),双头龙,330,恶,草,无,3,粉碎赫兹,恶●,200,对手的牌库从上方3张弃牌区。
229,サザンドラex,三头龙ex,SV8,072/106,宝可梦/2阶进化,ex,太晶(星晶),双头龙,330,恶,草,无,3,欧布希德伊阿恩,超恶钢●,130,对手的备战区宝可梦2只也对，各自130点伤害。［备战区弱点・抵抗力不计算。］
230,モモワロウ,桃歹郎,MC,490/742,宝可梦/基础,无,无,无,80,恶,斗,无,1,[特性]也其中毒,无,无,这宝可梦战斗场期间，对手的【其中毒】的宝可梦，【其中毒】在放置伤害指示物的数5个多。
230,モモワロウ,桃歹郎,MC,490/742,宝可梦/基础,无,无,无,80,恶,斗,无,1,毒奇艾-恩,恶●,10,对手的战斗宝可梦【其中毒】。下一个对手的次合，这个招式受到宝可梦，不能撤退。
231,シャリタツex,米立龙ex,SV8,081/106,宝可梦/基础,ex,太晶(星晶),无,160,龙,无,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
231,シャリタツex,米立龙ex,SV8,081/106,宝可梦/基础,ex,太晶(星晶),无,160,龙,无,无,1,波恩普,火水,100,这招式的伤害，对手的战斗宝可梦效果不计算。
231,シャリタツex,米立龙ex,SV8,081/106,宝可梦/基础,ex,太晶(星晶),无,160,龙,无,无,1,希纳巴-鲁阿-,火水恶,无,自己的牌库从上方10张查看，该其中从宝可梦任意选择，备战区放出。残的卡牌库放次并洗切。
232,ケッキングex,请假王ex,MC,583/742,宝可梦/2阶进化,ex,无,过动猿,340,无,斗,无,4,[特性],无,无,对手的场上方「宝可梦【ex】・【V】」的话，这宝可梦招式不能使用。
232,ケッキングex,请假王ex,MC,583/742,宝可梦/2阶进化,ex,无,过动猿,340,无,斗,无,4,古雷-托斯伊恩古,●●,280,这宝可梦附有能量1个选择，弃牌区。
233,バッフロン,爆爆头水牛,SV8,087/106,宝可梦/基础,无,无,无,130,无,斗,无,2,角,●●,40,下一个对手的次合，这宝可梦招式的伤害受到时，招式使用过宝可梦伤害指示物6个放置。
233,バッフロン,爆爆头水牛,SV8,087/106,宝可梦/基础,无,无,无,130,无,斗,无,2,猛击头槌,●●●●,150,这宝可梦附有能量2个选择，弃牌区。
234,テラパゴス,太乐巴戈斯,MC,629/742,宝可梦/基础,无,无,无,120,无,斗,无,2,棱镜蓄力,●,无,自己的牌库从，各自不同属性的基本能量卡最多3张选择，自己的「太晶」的宝可梦以任意方式附上。然后洗牌库。
234,テラパゴス,太乐巴戈斯,MC,629/742,宝可梦/基础,无,无,无,120,无,斗,无,2,哈-多撞击,●●●,100,无
235,スボミー,含羞苞,M2a,011/193,宝可梦/基础,无,无,无,30,草,火,无,无,无,0费用,10,下一个对手的次合，对手手牌从物品卡放出不能使用。
236,リーフィアex,叶精灵ex,MC,038/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,草,火,无,2,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
236,リーフィアex,叶精灵ex,MC,038/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,草,火,无,2,的,草●,60×,对手的宝可梦全員附有能量的数×60点伤害。
236,リーフィアex,叶精灵ex,MC,038/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,草,火,无,2,莫斯阿盖-托,草火水,230,自己的备战区宝可梦全員的HP，各自「100」恢复。
237,モンメン,木棉球,SV8a,004/187,宝可梦/基础,无,无,无,60,草,火,无,1,托利普鲁旋转,草,10×,硬币3次掷，正面的数×10点伤害。
238,エルフーン,风妖精,SV8a,005/187,宝可梦/1阶进化,无,无,木棉球,100,草,火,无,1,[特性]治疗,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。自己的战斗场的【草】宝可梦的HP，全部恢复。之后，已恢复宝可梦附有能量，全部弃牌区。
238,エルフーン,风妖精,SV8a,005/187,宝可梦/1阶进化,无,无,木棉球,100,草,火,无,1,塔内,草,40,无
239,ブースターex,火伊布ex,MC,094/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,火,水,无,2,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
239,ブースターex,火伊布ex,MC,094/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,火,水,无,2,燃烧蓄力,火●,130,自己的牌库从基本能量卡最多2张选择，自己的宝可梦1只附上。然后洗牌库。
239,ブースターex,火伊布ex,MC,094/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,火,水,无,2,卡-内利阿恩,火水雷,280,下一个自己的次合，这宝可梦招式不能使用。
240,アズマオウ,金鱼王,SV8a,029/187,宝可梦/1阶进化,无,无,角金鱼,110,水,雷,无,1,[特性],无,无,场上「祭典会场」出的话，这宝可梦，带有招式2次连续在可以使用。（1次目的招式在对手的战斗宝可梦【昏厥】的话，次的战斗宝可梦出之后，2次目的使用招式。）
240,アズマオウ,金鱼王,SV8a,029/187,宝可梦/1阶进化,无,无,角金鱼,110,水,雷,无,1,库伊库抽牌,●,60,自己的牌库2张抽牌。
241,シャワーズex,水伊布ex,MC,161/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,280,水,雷,无,2,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
241,シャワーズex,水伊布ex,MC,161/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,280,水,雷,无,2,赫比-斯呼唤,水●,无,对手的「宝可梦【ex】」全員，各自60点伤害。这招式的伤害弱点・抵抗力不计算。
241,シャワーズex,水伊布ex,MC,161/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,280,水,雷,无,2,水流玛利恩,火水雷,280,下一个自己的次合，这宝可梦招式不能使用。
242,ヒンバス,笨笨鱼,SV8a,035/187,宝可梦/基础,无,无,无,30,水,雷,无,1,无,水,10×,这宝可梦放置有伤害指示物的数×10点伤害。
243,グレイシアex,冰精灵ex,MC,162/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,水,钢,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
243,グレイシアex,冰精灵ex,MC,162/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,水,钢,无,1,夫洛斯托巴雷托,水●,110,对手的备战区宝可梦1只也对，30点伤害。［备战区弱点・抵抗力不计算。］
243,グレイシアex,冰精灵ex,MC,162/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,270,水,钢,无,1,尤-库雷-斯,草水恶,无,伤害指示物6个放置有对手的宝可梦1只选择，【昏厥】。
244,サンダースex,雷伊布ex,MC,238/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,260,雷,斗,无,无,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
244,サンダースex,雷伊布ex,MC,238/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,260,雷,斗,无,无,夫猛攻长矛,雷●,60,可以选择，自己的备战区宝可梦附有基本能量卡最多2张弃牌区，该张数×90点伤害追加。
244,サンダースex,雷伊布ex,MC,238/742,宝可梦/1阶进化,ex,太晶(星晶),伊布,260,雷,斗,无,无,多拉咬击,火水雷,280,下一个自己的次合，这宝可梦招式不能使用。
